	Count
hsa-mir-7110-3p	2
hsa-mir-564	2
hsa-mir-548t-5p	2
hsa-mir-4726-5p	2
hsa-mir-4687-5p	2
hsa-mir-4642	2
hsa-mir-5196-5p	2
hsa-mir-6072	2
hsa-mir-877-3p	2
hsa-mir-579-3p	2
hsa-mir-2114-3p	2
hsa-mir-4731-5p	2
hsa-mir-4645-5p	2
hsa-mir-6786-3p	2
hsa-mir-3174	2
hsa-mir-614	2
hsa-mir-6499-3p	2
hsa-mir-8054	2
hsa-mir-1224-3p	2
hsa-mir-5089-5p	2
hsa-mir-6881-3p	2
hsa-mir-455-3p	2
hsa-mir-548ak	2
hsa-mir-6803-3p	2
hsa-mir-4431	2
hsa-mir-762	2
hsa-mir-889-3p	2
hsa-mir-1258	2
hsa-mir-8081	2
hsa-mir-5009-5p	2
hsa-mir-6858-5p	2
hsa-mir-567	2
hsa-mir-3922-5p	2
hsa-mir-609	2
hsa-mir-3940-3p	2
hsa-mir-4668-5p	2
hsa-mir-1909-5p	2
hsa-mir-4796-3p	2
hsa-mir-1181	2
hsa-mir-4747-3p	2
hsa-mir-6811-5p	2
hsa-mir-6785-5p	2
hsa-mir-597-3p	2
hsa-mir-6786-5p	2
hsa-mir-2116-5p	2
hsa-mir-635	2
hsa-mir-4797-3p	2
hsa-mir-1289	2
hsa-mir-369-5p	2
hsa-mir-127-3p	2
hsa-mir-3143	2
hsa-mir-214-3p	2
hsa-mir-134-5p	2
hsa-mir-3655	2
hsa-mir-5089-3p	2
hsa-mir-4464	2
hsa-mir-4769-3p	2
hsa-mir-4720-5p	2
hsa-mir-3677-3p	2
hsa-mir-6732-5p	1
hsa-mir-8063	1
hsa-mir-6078	1
hsa-mir-4441	1
hsa-mir-11401	1
hsa-mir-375-5p	1
hsa-mir-494-3p	1
hsa-mir-4330	1
hsa-mir-217-3p	1
hsa-mir-6882-3p	1
hsa-mir-9851-5p	1
hsa-mir-6743-5p	1
hsa-mir-6734-3p	1
hsa-mir-4477a	1
hsa-mir-6814-3p	1
hsa-mir-9900	1
hsa-mir-7850-5p	1
hsa-mir-3685	1
hsa-mir-5010-5p	1
hsa-mir-3135a	1
hsa-mir-506-5p	1
hsa-mir-4275	1
