	SRR3174965_trimmed_size.fasta
hsa-mir-1302-4-3p	2
hsa-mir-6516-5p	2
hsa-mir-6803-3p	2
hsa-mir-199b-5p	2
hsa-mir-3143-5p	2
hsa-mir-3618-5p	2
hsa-mir-4642-5p	2
hsa-mir-891a-5p	2
hsa-mir-548a-3-5p	2
hsa-mir-11399-5p	2
hsa-mir-548aa-2-3p	2
hsa-mir-1278-5p	2
hsa-mir-2116-5p	2
hsa-mir-1256-3p	2
hsa-mir-15a-3p	2
hsa-mir-320e-3p	2
hsa-mir-646-3p	2
hsa-mir-6881-3p	2
hsa-mir-3919-5p	2
hsa-mir-4745-5p	2
hsa-mir-9903-5p	2
hsa-mir-548al-5p	2
hsa-mir-1246-3p	2
hsa-mir-7111-3p	2
hsa-mir-3135b-5p	2
hsa-mir-181b-2-3p	2
hsa-mir-4796-3p	2
hsa-mir-2114-3p	2
hsa-mir-6084-5p	2
hsa-let-7a-3-5p	2
hsa-mir-597-3p	2
